City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Narsaq,GL,60.9167,-46.05,44.82,64,100,17.49,overcast clouds
327,Goundam,ML,16.4145,-3.6708,90.63,20,37,4.99,scattered clouds
328,Severomuysk,RU,56.1481,113.4267,-3.28,80,93,1.48,overcast clouds
329,Kudat,MY,6.8837,116.8477,78.73,100,40,0.0,scattered clouds
330,Izazi,TZ,-7.2,35.7333,83.66,34,72,5.93,broken clouds
331,Road Town,VG,18.4167,-64.6167,86.09,84,40,9.22,scattered clouds
332,Raga,SS,8.4596,25.678,77.58,25,91,4.18,overcast clouds
333,Port Lincoln,AU,-34.7333,135.8667,54.46,71,100,23.17,overcast clouds
334,Cidreira,BR,-30.1811,-50.2056,67.91,96,100,13.49,light rain
335,General Bravo,MX,25.8,-99.1667,63.86,32,4,4.88,clear sky
336,Havoysund,NO,70.9963,24.6622,35.83,78,65,7.61,broken clouds
337,Krasnoselkup,RU,65.7,82.4667,-13.76,87,5,9.73,clear sky
338,Najran,SA,17.4924,44.1277,66.85,34,0,3.31,clear sky
339,Batagay-Alyta,RU,67.8006,130.4114,-18.42,97,98,1.54,overcast clouds
340,Caruray,PH,10.3094,119.0128,80.15,88,100,8.01,overcast clouds
341,Salta,AR,-24.7859,-65.4117,76.57,50,40,23.02,scattered clouds
342,Ola,RU,59.5833,151.2833,2.12,93,84,8.21,broken clouds
343,Pangnirtung,CA,66.1451,-65.7125,14.0,67,75,2.3,broken clouds
